B000H00VBQ,Carol T,5,I highly recommend this series. It is a must for anyone who is yearning to watch "grown up" television. Complex characters and plots to keep one totally involved. Thank you Amazin Prime.
B000H00VBQ,J. Kaplan "JJ",4,Mysteries are interesting.  The tension between Robson and the tall blond is good but not always believable.  She often seemed uncomfortable.
B000H0X79O,Kansas,5,This is the best of the best comedy Stand-up. The fact that I was able to just watch continuously one comedian after another was great. I had the best laughter I have had in a long time.
B000H0X79O,Louis V. Borsellino,3,Not bad.  Didn't know any of the comedians but first time viewing put a smile on my face.  I'll check out the next season soon.
B000H29TXU,Amazon Customer,4,I love the variety of comics.  Great for dinner TV entertainment because of length of each episode.  Many of the featured comics have gone on to even bigger TV specials so it's great to see some of their earlier material.
B000H29TXU,Cathy P.,3,comedy is a matter of taste. this guy was a little funny but there are others that are far funnier than this guy
B000H29TXU,Emily Booth,5,Watched it for Kevin Hart and only Kevin Hart!  He makes me laugh.  The best comedy comes from pain and Kevin does his comedy with a huge heart.
B000H29TXU,James Westervelt,2,he's OK. His humor consists mainly of varying between a Vietnamese accent and a smooth articulate presentation of ironic situations.
B000H2DMME,Kansas,5,All the comedians are hilarious. I have seen them all before on Comedy Central but what a great idea to put them all together. I love Amazon prime and I love their shows. They are so much better than Netflix. I got rid of my Netflix Amazon rocks and Netflix well it thymes with rocks but in a bad way.
B000H2DMME,mari franks,5,Very funny. Some of the comedians were funnier than the others. We were laughing so hard the dog thought something was wrong with us
B000H2DMME,Ray Shiva,5,Great variety of good comics. Each show is just the right length to not get boring. The comics are really funny too.
B000H2DMME,Rugby,3,It was fine - not my favorite but a comic on her way up. Some of the same cliche material I hear from others but a spark if the individual world view comes to the fore.
B000H4YNM0,Chad A. Barts "Chadillac",5,Season 2 of It's Always Sunny In Philadelphia is mandatory for anyhow who watches the show to own. This season has some of the greatest episodes in Sunny history!
B000H4YNM0,Consumer 45,5,Each episode gives me more entertainment than anything else on the tube. though I may not  want to have these characters as real friends - the women are hot though - the plots and characters make for great viewing.Do not see myself abandoning this series.I give 5 stars to every episode and season of Always Sunny in Philadelphia!Thanks Amazon!
B000H4YNM0,Donna Smith,5,Got these for my son's birthday. He says they are great! They are funny so give them a try! OK!
B000H4YNM0,gary blakely,1,maybe i just dont get it...but crude not funny and irritating most of the time....guys that dumb shouldnt be on TV
B000H4YNM0,Grace11,5,Gave this to a good friend and ordered another for myself.  Very funny!  I highly recommend this for anyone who enjoys irony and a good laugh.
B000H4YNM0,Lee DeBree,4,I enjoyed the first season a lot. The 4 main characters are very funny with their self centered ways. The second season they added Danny Devito  (Frank Reynolds) as the deranged father figure. Now most of the story lines revolve around him. Not as funny. Maybe it's better to just leave well enough alone.
B000H4YNM0,N. Dillon "International reader",5,I wish I were a part of this cast. This is the funniest stuff ever. YOU MUST GET THIS IF YOU ARE A DIE HARD &#34;SUNNY&#34; FAN!
B000H4YNM0,Sydney Domville,5,I love this show and I don't think that will ever change.  I hate all of the characters and I mean that in the best way.  Hilarious.
B000HAB4NK,Amazon Customer,5,Wish I had watched this show when it began back in 2001.  Very happy that it is available from Amazon to stream.  I've watched 5 seasons in 3 weeks!  Will keep you on the edge of your seat (if you suspend reality a little bit).  Highly recommend!
B000HAB4NK,Bill E. Bissett,5,Non stop action with edge of your seat thrilling plots with a new turn every minute.  Cast of great stars keep all events seeming like weeks but actually are in 24 hours
B000HAB4NK,Donkey,5,I had a hard time following this show when it was on TV but now that it is on Prime I can watch the episodes in a row without commercial interruption. I now can watch all of them at my leisure. I am so excited that I can't wait for another day to watch more! And I think Keifer Sutherland makes the show. I would like to tell all viewers out there that you should be on Prime because all of these episodes are for free with your membership. Many of your TV episode series are for free and tons of movies. So you all out there join Amazon Prime!
B000HAB4NK,Edna M. Dooley "Doolster",5,This show is like a runaway train ride. Every episode has poor Jack in some death defying crisis. Really enjoyed the ride.
B000HAB4NK,K. Munsey,5,Absolutely great show! Every episode keeps you on the edge of your seat!  Makes it very hard to turn it off!
B000HAB4NK,M.A.,5,I particularly like the fact that the show (which I missed when broadcast) subtly introduces the moral dilemmas of the situations.
B000HAB4NK,Steve Lawrence,5,By now I've gotten into 24 pretty deep. I like the intensity of this real time format. I really enjoy watching Jack save the world.
B000HAB4NK,St Johns,4,I enjoyed nearly all the seasons of 24 and this is probably my third year I have watched them.  So excited they are bringing the show back though it may be somewhat different.  I enjoy dramas such as &#34;24&#34; and &#34;Covert Affair&#34;.  Good luck to the 24 actors and crew and hope the new show will do well.
B000HAB4NK,youbebest,5,great acting.  Lot of cliff  hangers.  good direction. absorbing - couldn't stop watching it.  i would recommend it to anyone.
B000HKWE3O,K. A. Morgan "book relisher",5,MacGyver can work his way out of anything with his knowledge of physics.  He is a master of problem solving.  I think everyone would enjoy seeing his stories.
B000HKWE3O,MICKEYY,4,It was  Good and funny I enjoy it it is worth watching a family movie Just enjoy  very light  Enjoy
B000HKWE3O,Wayne A. Seavolt,5,James Bond minus the adult stuff.  Great show that shows the mind is still the best weapon.  Sure there is some liberal stuff thrown in but it is family friendly.  And who can't resist the MacGyverisms as you think could that work.  Maybe not but it will make the kids think and want to experiment.  Good stuff for the whole family.
B000HZEHL6,Amy S. Hayley,5,What happened with Tony and the plague he was dying from.  HELP!  It's killing me to know!!!!!!!!!!
B000HZEHL6,Betty J. Conner,5,We have watched the first and second season and we love the series.  We are now watching the third season and just like the first two we love the NCIS Team and the plots are excellent.
B000HZEHL6,C. Carnrike "book keeper",5,Started watching NCIS marathon on USA Channel (had never watched the show) and got hooked.  I have since purchased every season through Amazon and am enjoying every episode.  Great show.
B000HZEHL6,D. C. Holbrook "Dee",5,Love having the Instant View feature on Amazon.com. I have used this feature many times and will do again. Would highly recommend to friends and family.
B000HZEHL6,Kris,5,This said it was used but you couldn't tell. The box had just a little wear on the corners other then that it looked new. Would order from them again.
B000HZEHL6,nelly123,5,Great storylines and very believable great i would recommend it to anyone over the age of 18 years and love the show
B000HZEHL6,Robsy,4,I love this show!  It is interesting and is a show I have great fun watching with my dad when he has time off.  The characters are funny and the banter is excellent.
B000HZEHL6,TL in SB,5,We love NCIS and all the seasons are great.  Anyone who enjoys the characters will like this season.  Beware of scenes in the autopsy room.
B000I5PVD8,dvdjhll,2,I used to watch this as a kid. We could only get it when the atmospheric conditions were just right and the tv antenna was turned to just the right direction to get the one station that played this at 10pm. They would show this as a double feature with Dark Shadows. It is fascinating to see how much has changed in how we treat each other and how tv is made.
B000I5PVD8,I Teach Typing,4,This is a great example of the &#34;Dr being stuck in ancient earth&#34; theme that shows up over and over in the decades that follow.  Other than the time travel there is not much science fiction here.  It is very interesting to see the Dr interacting with his &#34;crew&#34; and how he is more like the captain of a ship rather than the more active character that he becomes over time.  Probably the most interesting thing about this episode is how it shows the cultural mores of the 1960s.  If you enjoy ancient TV this is a gem.  If you are expecting anything like the modern Dr you probably want to skip ahead a couple decades.
B000I5PVD8,Lori "lolepere",4,I rated this a 4 star because the film was grainey.  I suppose this is the best it could be after all of these years.  What a treat you start learning about Dr. Who's start
B000I5PVD8,Richard A. Luc "Luke",3,starting with an actor who was noted for military roles and still going on today Dr. Who is part of many of our lives.The original shows were on miniscule budgets and demanded a lot more imagination from the viewers than today's shows.The Aztecs in this show were probably more comfortable on the London Underground than in the Central American jungles but that doesn't matter.The Doctor is a far cry from today's version-  with no real alien identity (two movies had him as definitely an elderly Earthman)- but that didn't matter- kids loved it and more than a couple of their parents too!.A captivating history lesson
B000I5Q0ZG,greg,5,The Doctor is the longest running si fi on television and there is little dout as to why. It's great.
B000I5RENI,greg,5,The best and lonest running sifi on tv ever. I have been a fan since 1970s. I think my wife loves it more them myself.
B000I5RENI,notwing,5,enjoyed all episodes of season 16 I only hope it continues with 2014(season 56) cant wait for it to appear
B000I5RENI,watchman,5,The writing in this season is amazingly well done. As is the acting. The character actors playing the bad guys and the heroes accompanying the Doctor are top notch.
B000I62JFU,Eric Schneider,3,Everything has to start somewhere but as a viewer there is only so much nostalgia one can have for sci-fi.  Thus is a 50 year old season and it shows.  Campy at best.  If you want a good starting point for Dr. Who I suggest starting with Dr. #3 in app 1970.  This is also the start of color. That being said seeing Cybermen as an original 'bad guy' shows the connection to the past.
B000I62JFU,Marc W. Gilbertson,5,A great show about the Cybermen.  The episode centers around the tomb of the cybermen and the old look of them is pretty cool.  I only wish there were more episodes in the AMAZON library.
B000I8FOZA,Douglas Tyler,5,I appreciate technology and seeing the dreams fot the future.  I will watch additional Extreme Engineering seasons.  thank you for tne presentation.
B000I8FOZA,Jason Nobody,1,Couldn't even finish &#34;Sky City&#34; - it just feels like a sales pitch. Just get to the extreme engineering people.
B000I8FOZA,L. Crist "tronicsjunkie",4,Love to see where men build and keep striving for better.  It's nice to live in a day when things naturally progress.
B000I8FOZA,Lurch,4,Not the best show ever made but you do learn.  I would love more in depth info but I do understand there is only so much that a show can divulge.  But I will say you will learn a lot and some episodes are done very well others not so well.  But hey give it a shot you may have an engineer in you waiting to get out.
B000I8H2ZU,Amazon Customer,5,These guys are great and they have a fantastic team. There have been a couple of knock-off shows that weren't even in the same galaxy as the Mythbusters. I would give 7 stars if I could!!
B000I8H2ZU,Margaret G. Louk "loves music",5,These guys are a little bit crazy.  It is a fun series to watch.  You never know what they are going to do.
B000I8H2ZU,Some Guy,5,I've always enjoyed Mythbusters. Glad this show has gone as long as it has because I can always pull up an episode and be entertained even though I've seen most of them before.
B000I9S5BE,Christine Vogelsang,5,This is great for my grandchildren.  As an educator I know how important it is to encourage children to think and problem solve.  That is exactly what this show does.  My 22 month old twin grandchildren love it and it is the only show they are allowed to watch.
B000I9S5BE,greg,5,My grandbaby loved this show very much. She still looks for spots all over the place. She was mezmarized totaly.
B000I9S5BE,gregory,5,Really? have you ever met a kid who didn't like watching this show whether with joe now or steve in the past?
B000I9S5BE,Kindle Customer,5,I love this program.  The kids get so involved in the entire show. I really chuckle as the little ones really think they can be interactive.
B000I9S5BE,Louis Diana,5,Very instructional and cute. Both my 7 year old and 1 1/2 year old love the show! More seasons for Prime members to stream!!
